frame,t,bx,by
122,4.88,734.9635784173163,148.90845304788925
123,4.92,724.4295708116217,147.870485718726
124,4.96,713.8469341074036,146.95469912494457
125,5.0,703.2217636108205,146.1616207343038
126,5.04,692.5601791263193,145.49170733803004
127,5.08,681.8683214317973,144.94534478771817
128,5.12,671.1523487416836,144.52284777309166
129,5.16,660.4184331599783,144.2244596407499
130,5.2,649.672757125291,144.0503522540075
131,5.24,638.9215098499267,144.0006258939055
132,5.28,628.1708837550713,144.07530920145263
133,5.32,617.4270709041278,144.2743591611285
134,5.36,606.6962594362593,144.59766112565953
135,5.4,595.9846300021914,145.04502888205263
136,5.44,585.2983522043285,145.6162047588488
137,5.48,574.6435810432338,146.31085977453446
138,5.52,564.0264533725189,147.12859382702607
139,5.56,553.4530843641849,148.06893592411768
140,5.6,542.9295639864539,149.13134445475944
141,5.64,532.4619534961149,150.31520750101066
142,5.68,522.0562819474073,151.61984319048742
143,5.72,511.71854271945267,153.04450008910248
144,5.76,501.454690064234,154.58835763387043
145,5.8,491.27063567711116,156.25052660552922
146,5.84,481.17224529184773,158.03004964070595
147,5.88,471.1653353021108,159.92590178333168
148,5.92,461.2556694113887,161.9369910749877
149,5.96,451.4489553132572,164.06215918384365
150,6.0,441.7508414039063,166.3001820718242
151,6.04,432.166913528819,168.6497706996217
152,6.08,422.7026917654804,171.10957176914667
153,6.12,413.36362724396406,173.6781685029903
154,6.16,404.15509900723316,176.35408146044912
155,6.2,395.0824109129595,179.13576938964187
156,6.24,386.1507885786485,182.02163011522794
157,6.28,377.3653763718279,185.01000146121615
158,6.32,368.7312344470344,188.09916220833207
159,6.36,360.2533358313047,191.28733308539293
160,6.4,351.9365635598488,194.57267779411833
161,6.44,343.78570786355755,197.95330406678752
162,6.48,335.80546340996136,201.4272647561332
163,6.52,328.00042659923207,204.99255895684453
164,6.56,320.3750929167829,208.64713315803328
165,6.6,312.9338543439939,212.3888824259993
166,6.64,305.6809968285516,216.21565161661414
167,6.68,298.6206978158616,220.12523661662453
168,6.72,291.757023842956,224.11538561316044
169,6.76,285.09392819628,228.18380039071752
170,6.8,278.63524863470826,232.32813765486523
171,6.84,272.38470517910207,236.5460103819198
172,6.88,266.3458979696802,240.83498919380412
173,6.92,260.52230519243756,245.19260375730178
174,6.96,254.91728107580616,249.61634420690132
175,7.0,249.5340539587125,254.10366259040893
176,7.04,244.37572443114345,258.6519743364987
177,7.08,239.44526354829208,263.2586597433543
178,7.12,234.7455111193122,267.9210654875445
179,7.16,230.2791740716666,272.6365061522644
180,7.2,226.0488248920118,277.40226577406105
181,7.24,222.05690014451687,282.21559940715355
182,7.28,218.30569906746973,287.0737347044457
183,7.32,214.79738224897955,291.97387351432144
184,7.36,211.5339703825377,296.91319349230264
185,7.4,208.51734310315413,301.8888497266418
186,7.44,205.74923790473974,306.89797637691214
187,7.48,203.2312491393576,311.93768832465287
188,7.52,200.96482709892075,317.0050828351171
189,7.56,198.95127717986344,322.0972412291678
190,7.6,197.19175913126952,327.2112305643552
191,7.64,195.68728638688884,332.344105324211
192,7.68,194.4387254814273,337.4929091147846
193,7.72,193.44679555144683,342.654676367444
194,7.76,192.7120679211627,347.82643404696137
195,7.8,192.23496577337676,353.00520336389945
196,7.84,192.01576390573535,358.1880014903115
197,7.88,192.0545885724539,363.37184327776794
198,7.92,192.35141741159777,368.5537429767194
199,7.96,192.90607945796216,373.73071595620553
200,8.0,193.71825524154337,378.8997804229204
201,8.04,194.78747697154466,384.0579591386427
202,8.08,196.1131288058109,389.20228113504305
203,8.12,197.69444720553633,394.3297834248785
204,8.16,199.53052137504233,399.4375127085932
205,8.2,201.62029378636987,404.52252707533484
206,8.24,203.96256078838718,409.5818976974166
207,8.28,206.55597330005855,414.61271051723827
208,8.32,209.39903758747892,419.6120679257056
209,8.36,212.4901161242219,424.5770904311702
210,8.4,215.82742853451123,429.5049183179399
211,8.44,219.4090526186663,434.39271329339323
212,8.48,223.23292546023805,439.23766012276013
213,8.52,227.29684461418958,444.0369682506167
214,8.56,231.59846937544592,448.78787340817087
215,8.6,236.13532212707287,453.4876392054015
216,8.64,240.9047897673188,458.1335587071468
217,8.68,245.90412521468585,462.72295599222093
218,8.72,251.1304489901761,467.25318769467367
219,8.76,256.5807508757886,471.7216445262932
220,8.8,262.25189164832534,476.12575277948656
221,8.84,268.14060488749294,480.46297580966177
222,8.88,274.24349885727463,484.7308154962674
223,8.92,280.55705845947256,488.92681368163824
224,8.96,287.07764725831055,493.0485535868288
225,9.0,293.80150957491753,497.0936612036089
226,9.04,300.72477265049747,501.05980666182865
227,9.08,307.84344887692924,504.9447055713578
228,9.12,315.15343809352,508.74612033783217
229,9.16,322.6505299485836,512.4618614514457
230,9.2,330.33040632448706,516.0897887480478
231,9.24,338.1886438247671,519.6278126418187
232,9.28,346.2207163218839,523.0738953288128
233,9.32,354.4219975641456,526.4260519606781
234,9.36,362.7877638403014,529.6823517878731
235,9.4,371.31319670026835,532.8409192717261
236,9.44,379.9933857304259,535.8999351646924
237,9.48,388.8233313818779,538.8576375581919
238,9.52,397.7979478500547,541.7123228974189
239,9.56,406.9120660039961,544.4623469625427
240,9.6,416.1604363636277,547.1061258157333
241,9.64,425.53773212331646,549.6421367134649
242,9.68,435.0385522199632,552.0689189835746
243,9.72,444.657424443866,554.3850748665692
244,9.76,454.38880859056127,556.5892703206961
245,9.8,464.22709965182867,558.6802357903141
246,9.84,474.1666310440208,560.6567669371225
247,9.88,484.2016778718586,562.5177253338269
248,9.92,494.3264602258129,564.2620391198416
249,9.96,504.53514651117246,565.8887036186517
250,10.0,514.8218568068812,567.3967819164791
251,10.04,525.1806662522099,568.7854054019186
252,10.08,535.6056084593142,570.0537742662348
253,10.12,546.0906789497044,571.2011579640288
254,10.16,556.6298386126653,572.2268956340131
255,10.2,567.2170171836106,573.1303964796487
256,10.24,577.8461167403935,573.9111401094281
257,10.28,588.5110152155357,574.5686768366061
258,10.32,599.2055699223744,575.1026279382072
259,10.36,609.9236210930743,575.5126858731591
260,10.4,620.6589954264896,575.7986144594283
261,10.44,631.4055096438086,575.9602490100544
262,10.48,642.1569740499576,575.9974964280052
263,10.52,652.907196098688,575.9103352597975
264,10.56,663.6499839593176,575.6988157078545
265,10.6,674.3791500830481,575.3630596015902
266,10.64,685.088514766828,574.9032603272389
267,10.68,695.7719097126848,574.3196827164703
268,10.72,706.4231815804999,573.6126628938539
269,10.76,717.0361955321569,572.7826080832601
270,10.8,727.6048387650438,571.8299963733109
271,10.84,738.1230240328534,570.755376442014
272,10.88,748.5846931516742,569.5593672407393
273,10.92,758.9838204893308,568.2426576377202
274,10.96,769.3144164359878,566.806006021284
275,11.0,779.5705308539933,565.2502398630425
276,11.04,789.7462565049991,563.5762552412892
277,11.08,799.8357324523631,561.7850163248854
278,11.12,809.8331474368881,559.8775548179235
279,11.16,819.732743223946,557.8549693654949
280,11.2,829.5288179200626,555.7184249209009
281,11.24,839.2157292570492,553.4691520746717
282,11.28,848.7878978417946,551.1084463457798
283,11.32,858.23981036984,548.6376674354577
284,11.36,867.5660228008909,546.0582384440469
285,11.4,876.761163494433,543.3716450513316
286,11.44,885.8199363036492,540.5794346608287
287,11.48,894.7371236258538,537.6832155085256
288,11.52,903.5075894076865,534.6846557365807
289,11.56,912.1262821033384,531.5854824325202
290,11.6,920.5882375841018,528.3874806344829
291,11.64,928.8885819975715,525.0924923030879
292,11.68,937.0225345748486,521.7024152605157
293,11.72,944.9854103841319,518.2192020974162
294,11.76,952.7726230291088,514.6448590482689
295,11.8,960.3796872905923,510.98144483584895
296,11.84,967.802221709884,507.2310694854583
297,11.88,975.0359511123727,503.3958931096105
298,11.92,982.0767090699167,499.47812466386506
299,11.96,988.9204403005917,495.48002067453046
300,12.0,995.5632030044204,491.4038839389671
301,12.04,1002.0011711337415,487.2520621992396
302,12.08,1008.2306365969058,483.02694678988286
303,12.12,1014.2480113940355,478.7309712605588
304,12.16,1020.0498296836124,474.3666099743996
305,12.2,1025.6327497787079,469.93637668284236
